label,sample,time_step,pc1,pc2
0,1,0,-0.5287907826699912,0.8262383136000121
0,1,1,-0.4836592733114847,0.8373981575192033
0,1,2,-0.3694503201248808,0.8714664934658624
0,1,3,-0.24965844360174425,0.8944942201964091
0,1,4,-0.37244518477404154,0.8278469021098414
0,1,5,-0.4071087530160101,0.7612867176819736
0,1,6,-0.8630061706380192,0.49179860072792975
0,1,7,-1.486317519397494,0.070587632202173
0,1,8,-1.1227973876537838,-0.18941907046779768
0,1,9,-1.3750893395138701,-0.5998108293648517
0,1,10,-1.4640660404471235,-0.9700713993935511
0,1,11,-1.41359123489909,-1.2087087888861747
0,1,12,-1.4479758740018849,-1.5965735340591345
0,1,13,-1.1307461240364747,-1.8087599849956542
0,1,14,-0.6345483602958816,-1.8638588883099503
0,1,15,0.1382491202938852,-1.729985185911329
0,1,16,0.9202263124146588,-1.5209565979864905
0,1,17,1.9716772133363707,-1.0961519326581886
0,1,18,2.816694341761972,-0.6689052938099852
0,1,19,3.0483121940257107,-0.3049145771254517
0,1,20,2.972330150384915,0.04039260050003347
0,1,21,2.7466551243334205,0.38615959816977263
0,1,22,1.7177143776548252,0.4704343968004047
0,1,23,1.0220843955382035,0.6379894682598446
0,1,24,0.6910094508223414,0.7775495492795309
0,1,25,0.14247924457776873,0.8578267433537234
0,1,26,-0.48012014291053257,0.8251205941789945
0,1,27,-0.7894849896276808,0.8171778039761879
0,1,28,-0.9527616678921245,0.7846111850790631
0,1,29,-0.9732363598742997,0.7786361984213223
0,1,30,-0.9186448908005517,0.7822102623958689
0,1,31,-0.723933065657109,0.8188906450504071
0,2,0,-0.3944359317106087,0.9006086692659107
0,2,1,-0.3414181526230442,0.9303223627232825
0,2,2,-0.22858776406290957,0.9737094513205516
0,2,3,-0.16076786553633637,1.001508669776048
0,2,4,-0.1415964782894944,1.0043355157756415
0,2,5,-0.1937643017621431,0.9468692877344635
0,2,6,-0.4564567298960697,0.7894023684500557
0,2,7,-0.8254419469396279,0.552478022402258
0,2,8,-1.3098990141992373,0.19588424890284634
0,2,9,-2.1769951344236733,-0.34127496543910085
0,2,10,-2.7998073066108273,-0.8351524850932271
0,2,11,-2.4588240936096373,-1.080733842205176
0,2,12,-2.2130162001779077,-1.2012967555490501
0,2,13,-1.6734147305780898,-1.369775002539799
0,2,14,-0.9667341612240118,-1.4546642371077447
0,2,15,-0.19624777209335736,-1.4864806255689658
0,2,16,0.3986445385563721,-1.486538903301653
0,2,17,1.0239505603652934,-1.386699698632807
0,2,18,1.2619541858216052,-1.3343505065405195
0,2,19,2.1628663938484904,-1.0402623692848607
0,2,20,2.16823499603652,-0.8970090081378798
0,2,21,2.2704587791215523,-0.6501353059903987
0,2,22,2.0554246750265315,-0.38365737687703855
0,2,23,2.0466674199234767,-0.1767716006405184
0,2,24,1.7751681254877578,0.17339751277242502
0,2,25,1.3143171714458977,0.394502067282217
0,2,26,0.8355806879495556,0.5699172580246177
0,2,27,-0.16699383331824366,0.590935276753001
0,2,28,-0.08036766770234167,0.8306467037057544
0,2,29,-0.15751097048468118,0.9429684673797748
0,2,30,-0.034135183380645924,1.0569122022663346
0,2,31,-0.12003282326289395,1.0734379399964693
0,2,32,-0.09153232205531245,1.102760683494304
0,2,33,-0.1252871496419578,1.0942059748827817
0,3,0,-1.378630280435085,0.46290041679740684
0,3,1,-1.3651590661998951,0.4631161832425864
0,3,2,-1.3405430222330326,0.46329496760368544
0,3,3,-1.3366109965889952,0.46357547657339937
0,3,4,-1.332729295532336,0.4641860356469963
0,3,5,-1.32619734459668,0.4648924322695949
0,3,6,-1.3267655654196897,0.465754192298229
0,3,7,-1.326309340964653,0.4657367901225346
0,3,8,-1.3289214480175875,0.46657256070180275
0,3,9,-1.3296543419401976,0.4676226963232159
0,3,10,-1.3211405335526099,0.4698960873099732
0,3,11,-1.320740603455731,0.47100796956174756
0,3,12,-1.2990748253588489,0.47683763420280084
0,3,13,-1.2589486594950121,0.48175870425877587
0,3,14,-1.26104952420285,0.4855631862729639
0,3,15,-1.259898125464073,0.487968688053113
0,3,16,-1.2603345991276969,0.4908228615606169
0,3,17,-1.3022802200961858,0.5030674356787159
0,3,18,-1.3069951932285642,0.5067668926278972
0,3,19,-1.2923261855667934,0.5081244952358008
0,3,20,-1.2929850507757163,0.5091270008412644
0,3,21,-1.2929850507757163,0.5091270008412644
0,3,22,-1.2936302826220012,0.5107076296418719
0,3,23,-1.2898373520217599,0.5106994119407985
0,3,24,-1.2750580313343067,0.5057302661722008
0,3,25,-1.2719873287551475,0.48980135206636166
0,3,26,-1.3043262949301302,0.47567794686854054
0,3,27,-1.3276032274819027,0.45260755833487
0,3,28,-1.3252401661755402,0.4252804266142222
0,3,29,-1.4157646765991405,0.3955009137610519
0,3,30,-1.5450704898394096,0.36273461713174737
0,3,31,-1.5765381173914896,0.33009584423294464
0,3,32,-1.5914003899768152,0.273773355288625
0,3,33,-1.7776183369149134,0.23252147846665622
0,3,34,-1.920537102386858,0.19089587648851378
0,3,35,-1.9263837361335752,0.15048231169534973
0,3,36,-1.8505606879324734,0.09491846654145372
0,3,37,-1.905743320842772,0.03831210613440225
