label,sample,time_step,x,y,z
0,5,48,-64.031,369.9,-64.177
0,5,49,-62.805,368.57,-64.481
0,5,50,-62.191,368.11,-64.481
0,5,51,-61.857,368.2,-64.604
0,6,0,33.836,406.22,-105.84
0,6,1,35.693,407.0,-106.3
0,6,2,37.273,407.63,-106.57
0,6,3,39.29,408.45,-107.36
0,6,4,41.506,410.51,-108.11
0,6,5,43.756,411.84,-108.48
0,6,6,46.893,415.4,-109.43
0,6,7,49.171,418.49,-110.39
0,6,8,50.835,422.05,-111.41
0,6,9,51.766,426.37,-112.51
0,6,10,51.905,429.34,-113.51
0,6,11,51.177,435.57,-113.26
0,6,12,46.21,440.42,-114.19
0,6,13,38.663,443.08,-114.32
0,6,14,26.878,441.95,-112.47
0,6,15,11.917,433.62,-110.81
0,6,16,-3.1999,422.12,-110.43
0,6,17,-19.797,408.08,-109.55
0,6,18,-33.438,388.74,-106.65
0,6,19,-44.304,362.83,-101.6
0,6,20,-50.529,343.73,-99.547
0,6,21,-50.499,321.85,-95.595
0,6,22,-47.434,299.67,-93.276
0,6,23,-38.616,282.32,-92.958
0,6,24,-29.73,273.02,-94.302
0,6,25,-14.096,264.89,-97.846
0,6,26,4.7793,262.87,-102.52
0,6,27,23.399,266.67,-108.81
0,6,28,39.561,275.22,-114.99
0,6,29,53.069,290.4,-120.03
0,6,30,62.727,310.4,-123.66
0,6,31,68.088,328.23,-124.92
0,6,32,69.595,347.24,-126.88
0,6,33,68.247,367.84,-128.58
0,6,34,63.745,385.69,-129.3
0,6,35,57.023,400.94,-131.31
0,6,36,48.382,414.5,-130.01
0,6,37,38.005,426.4,-128.6
0,6,38,25.681,434.69,-128.62
0,6,39,16.563,438.96,-127.48
0,6,40,3.0372,440.85,-125.92
0,6,41,-8.5532,440.07,-124.43
0,6,42,-16.372,439.97,-123.28
0,6,43,-22.018,440.48,-121.92
0,6,44,-25.722,439.42,-119.31
0,6,45,-27.904,437.64,-117.94
0,6,46,-28.734,437.66,-117.25
0,6,47,-29.038,437.83,-116.57
0,6,48,-29.226,435.62,-116.0
0,6,49,-29.371,434.35,-116.74
0,7,0,-33.881,300.08,-64.001
0,7,1,-33.436,300.08,-64.129
0,7,2,-32.644,300.03,-65.804
0,7,3,-32.358,299.95,-66.4
0,7,4,-32.243,299.88,-66.566
0,7,5,-32.103,299.73,-66.731
0,7,6,-32.0,299.6,-66.846
0,7,7,-31.903,299.58,-66.975
0,7,8,-31.855,299.61,-67.123
0,7,9,-31.809,299.64,-67.225
0,7,10,-31.775,299.82,-67.36
0,7,11,-31.992,300.1,-67.779
0,7,12,-32.749,300.56,-68.676
0,7,13,-33.429,300.94,-69.008
0,7,14,-34.481,301.9,-69.183
0,7,15,-36.04,302.16,-69.322
0,7,16,-37.653,302.37,-69.774
0,7,17,-41.255,302.43,-70.818
0,7,18,-45.155,302.49,-71.57
0,7,19,-49.258,301.78,-71.506
0,7,20,-54.069,299.7,-71.128
0,7,21,-59.623,297.41,-70.582
0,7,22,-64.955,294.34,-69.735
0,7,23,-70.919,289.9,-69.397
0,7,24,-76.987,283.43,-69.859
0,7,25,-84.118,275.83,-71.171
0,7,26,-91.171,268.22,-71.855
0,7,27,-91.171,268.22,-71.855
0,7,28,-104.13,251.44,-72.367
0,7,29,-109.77,239.18,-73.049
0,7,30,-114.42,226.56,-72.382
0,7,31,-118.42,212.86,-70.646
0,7,32,-122.49,197.83,-69.425
0,7,33,-125.03,182.16,-67.273
0,7,34,-126.38,167.82,-63.636
0,7,35,-125.43,153.33,-59.334
0,7,36,-123.15,139.83,-55.555
0,7,37,-118.93,126.87,-52.214
0,7,38,-114.79,115.22,-49.396
0,7,39,-108.35,104.48,-45.374
0,7,40,-103.85,96.965,-43.094
0,7,41,-94.566,88.339,-40.382
0,7,42,-89.366,84.88,-38.549
0,7,43,-80.875,79.17,-35.707
0,7,44,-71.718,73.918,-32.97
0,7,45,-63.227,71.61,-30.62
0,7,46,-55.59,71.134,-30.037
0,7,47,-47.487,69.888,-30.295
0,7,48,-38.343,69.699,-30.239
0,7,49,-28.327,69.976,-30.844
0,7,50,-17.841,71.033,-30.211
0,7,51,-7.9091,74.725,-28.883
0,7,52,0.95737,78.691,-28.393
0,7,53,9.9434,83.521,-28.1
0,7,54,16.124,89.198,-27.79
0,7,55,25.527,98.332,-27.948
0,7,56,33.316,109.01,-28.337
0,7,57,39.797,120.24,-30.159
0,7,58,44.471,132.85,-31.948
0,7,59,47.778,146.06,-34.227
0,7,60,49.232,158.73,-36.778
0,7,61,49.554,171.28,-38.127
0,7,62,49.21,184.92,-39.583
0,7,63,48.846,200.28,-41.375
0,7,64,44.629,213.15,-44.297
0,7,65,41.374,221.43,-45.735
0,7,66,36.917,235.58,-48.402
0,7,67,30.075,248.54,-50.049
0,7,68,22.196,260.37,-51.857
0,7,69,14.0,270.35,-53.221
0,7,70,8.7746,276.93,-54.408
0,7,71,-3.6992,287.73,-56.258
0,7,72,-12.866,295.63,-57.376
0,7,73,-22.596,302.97,-57.829
0,7,74,-31.49,308.8,-61.615
0,7,75,-40.996,310.8,-63.338
0,7,76,-50.001,313.74,-63.277
0,7,77,-55.787,315.54,-62.291
0,7,78,-63.88,317.22,-61.628
0,7,79,-70.615,318.05,-61.957
0,7,80,-75.662,318.27,-62.542
0,7,81,-79.524,317.43,-63.454
0,7,82,-82.164,315.78,-65.14
0,7,83,-83.596,314.23,-65.907
0,8,0,-52.133,272.22,-73.283
0,8,1,-52.08,272.16,-73.291
0,8,2,-52.062,272.14,-73.292
0,8,3,-52.034,271.98,-73.297
0,8,4,-52.069,271.6,-73.344
0,8,5,-52.063,271.34,-73.434
0,8,6,-52.014,271.11,-73.561
0,8,7,-51.97,271.02,-73.699
0,8,8,-52.033,271.01,-73.883
0,8,9,-52.271,271.2,-73.996
0,8,10,-52.849,271.39,-74.057
0,8,11,-53.684,271.64,-73.992
0,8,12,-54.882,271.91,-73.853
0,8,13,-56.235,272.0,-73.832
0,8,14,-58.23,271.5,-73.963
0,8,15,-61.082,269.87,-74.47
0,8,16,-63.87,267.93,-74.667
0,8,17,-65.651,266.35,-74.695
0,8,18,-68.254,262.64,-74.503
0,8,19,-70.874,257.78,-73.408
0,8,20,-73.274,252.29,-72.403
0,8,21,-74.866,245.01,-71.419
0,8,22,-76.103,236.3,-70.305
0,8,23,-78.984,224.97,-68.426
0,8,24,-81.194,213.37,-65.773
0,8,25,-83.423,201.98,-63.524
0,8,26,-84.439,190.49,-60.927
0,8,27,-84.586,182.88,-57.927
0,8,28,-83.889,171.87,-53.886
0,8,29,-83.194,159.72,-50.844
0,8,30,-82.784,147.02,-47.384
0,8,31,-82.057,136.45,-41.346
0,8,32,-80.756,123.29,-36.166
0,8,33,-77.534,112.38,-32.102
0,8,34,-72.408,99.959,-29.313
0,8,35,-65.992,91.991,-26.796
0,8,36,-59.248,84.994,-24.723
0,8,37,-50.861,76.954,-23.154
0,8,38,-46.956,74.331,-22.615
0,8,39,-38.351,69.159,-21.565
0,8,40,-29.408,68.802,-20.169
0,8,41,-17.828,66.593,-17.44
0,8,42,-6.6417,66.628,-16.406
0,8,43,3.4711,68.075,-17.212
0,8,44,13.325,70.31,-18.42
0,8,45,23.138,74.355,-20.047
0,8,46,34.929,82.215,-22.034
0,8,47,43.711,89.765,-23.383
0,8,48,51.693,99.382,-25.306
0,8,49,58.678,111.33,-26.87
0,8,50,61.946,118.5,-28.368
0,8,51,65.616,130.89,-30.208
0,8,52,68.273,144.09,-31.882
0,8,53,69.043,157.25,-34.058
0,8,54,68.595,170.26,-36.759
0,8,55,67.151,182.95,-39.147
0,8,56,64.881,195.83,-41.871
0,8,57,61.725,209.81,-43.974
0,8,58,58.573,223.39,-47.24
0,8,59,54.053,236.16,-48.719
0,8,60,48.877,249.02,-50.406
0,8,61,44.736,257.16,-51.55
0,8,62,38.129,269.07,-53.424
0,8,63,30.369,278.85,-54.971
0,8,64,22.077,287.51,-55.565
0,8,65,12.706,295.23,-56.431
0,8,66,4.0384,301.23,-57.778
0,8,67,-4.629,308.03,-59.228
0,8,68,-13.023,312.92,-60.831
0,8,69,-21.499,317.69,-62.946
0,8,70,-29.078,319.57,-64.146
0,8,71,-37.243,319.25,-65.114
0,8,72,-45.419,317.68,-64.99
0,8,73,-52.571,314.27,-64.437
0,8,74,-57.068,311.63,-64.232
0,8,75,-63.579,306.26,-64.885
0,8,76,-67.964,300.43,-65.122
0,8,77,-71.569,294.33,-65.33
0,8,78,-74.078,287.99,-65.454
0,8,79,-75.829,282.76,-64.971
0,9,0,-10.196,301.05,-22.047
0,9,1,-10.231,301.13,-22.001
0,9,2,-10.272,301.36,-21.94
0,9,3,-10.429,301.5,-21.904
0,9,4,-10.819,301.58,-21.934
0,9,5,-11.718,301.74,-21.803
0,9,6,-13.313,301.8,-21.541
0,9,7,-16.528,301.84,-20.922
0,9,8,-21.518,299.65,-20.444
0,9,9,-27.985,296.48,-18.94
0,9,10,-35.413,287.92,-17.431
0,9,11,-39.824,282.0,-17.554
0,9,12,-45.415,270.65,-17.354
0,9,13,-47.449,258.46,-16.647
0,9,14,-45.544,248.08,-16.761
0,9,15,-40.187,238.08,-17.148
0,9,16,-32.22,230.64,-16.757
0,9,17,-22.993,225.13,-17.436
0,9,18,-12.788,221.31,-17.732
0,9,19,-3.0429,218.94,-18.661
0,9,20,5.3439,219.22,-19.828
0,9,21,11.949,222.6,-20.639
0,9,22,11.949,222.6,-20.639
0,9,23,19.051,236.01,-21.022
0,9,24,20.224,246.99,-21.171
0,9,25,18.404,260.82,-20.039
0,9,26,14.895,272.19,-19.248
0,9,27,10.123,282.27,-18.644
0,9,28,4.9152,290.25,-17.948
0,9,29,-0.98892,297.45,-16.509
0,9,30,-6.4911,302.27,-15.948
0,9,31,-10.516,303.59,-15.799
0,9,32,-13.024,304.4,-15.551
0,9,33,-14.076,304.07,-15.564
0,9,34,-14.411,303.82,-15.624
0,9,35,-14.791,302.56,-16.509
0,9,36,-14.584,301.61,-17.378
0,9,37,-14.202,300.87,-18.057
0,9,38,-13.776,300.39,-18.641
0,10,0,-4.0131,288.01,-11.97
0,10,1,-4.1347,288.41,-11.914
0,10,2,-4.8886,288.91,-11.711
0,10,3,-6.0039,289.26,-11.265
0,10,4,-8.6169,289.77,-9.9566
0,10,5,-12.001,289.59,-8.4438
0,10,6,-16.059,287.72,-6.3961
0,10,7,-20.682,283.5,-4.3038
0,10,8,-26.685,274.84,-2.4277
0,10,9,-32.395,263.99,-1.7264
0,10,10,-36.491,250.24,-2.0578
0,10,11,-37.07,235.85,-3.3481
0,10,12,-33.431,221.48,-5.7686
0,10,13,-27.221,208.54,-9.4983
0,10,14,-21.794,202.18,-11.977
0,10,15,-12.279,194.52,-14.769
0,10,16,-3.0957,189.91,-17.355
0,10,17,4.7933,187.1,-19.696
0,10,18,11.066,187.68,-21.627
0,10,19,16.905,192.58,-23.678
0,10,20,20.561,201.12,-24.787
0,10,21,22.456,211.43,-25.082
0,10,22,22.855,226.36,-24.148
0,10,23,21.678,240.62,-22.022
0,10,24,19.741,249.28,-20.615
0,10,25,15.212,261.92,-18.41
0,10,26,9.9709,272.27,-15.017
0,10,27,3.8343,280.34,-11.133
0,10,28,-2.2246,285.3,-9.1248
0,10,29,-6.6368,289.4,-6.4997
0,10,30,-7.7743,290.01,-6.1113
0,10,31,-10.491,291.0,-5.3341
0,10,32,-11.096,291.27,-5.2812
0,10,33,-11.177,291.4,-5.4641
0,10,34,-11.087,291.44,-5.6399
0,11,0,-2.6358,228.65,37.821
0,11,1,-2.5992,228.68,37.61
0,11,2,-2.5975,228.67,37.431
0,11,3,-2.688,228.53,37.438
